PdmarticleID;Bezeichnung;Produktfamilie;"Produktfamilie kurz";Produkttyp;Mediumstemperatur;Ansteuerung;"Arbeitsbereich Y";Kommunikation;"Notstellposition (POP) stromlos";"Laufzeit Motor";"Stellzeit Motor";Stellkraft;Hilfsschalter;Nennspannung;Nenndrehmoment;"Schutzart IEC/EN";Datenblattname;"Datenblatt PDF";3432;"Produktbild 4c/bw";DN;PN;"Zulässiger Druck ps";"Schliessdruck Δps";"Differenzdruck ∆pmin Wert";"Differenzdruck Δpmax Wert";kvs;"kvs (Sequenz I)";"kvs (Sequenz II)";kvmax;"kv variabel";"kvs theor.";"kv (Werkseinstellung)";"Vnom [l/s]";"Vnom [l/min]";"Vnom [l/h]";Vmaxpos1;Vmaxpos2;Vmaxpos3;"Vmax ger.";"Leckrate Regelpfad";"Anzahl Rohranschlüsse";"Rohranschluss Typ";Messstutzen;Medien;"Anwendung Ventil";"Elektrisches Zubehör";"Mechanisches Zubehör";V0;V1;Versions-Nr;Pfad
61698;R7025R10-B2;Regelkugelhahn;RKH;Ventil;-10...100°C;;;;;;;;;;;;R7..Rxx-B..;R7..Rxx-B.._datasheet_de-ch.pdf;;PIC_EU_R7-neueCCV_01_SW.jpg;25;6;600 kPa;600 kPa;;100 kPa;10 m³/h;;;;;;;;;;;;;;"Leckrate A, luftblasendicht (EN 12266-1)";3-Weg;Flansch;;Wasser;Regelventil;;;;;298;"EU\Produkte\Wasseranwendungen\Drehsortiment Ventile\Regel-Kugelhahnen\Flansch, 3-Weg\DN 25\"
61696;R7015R4-B1;Regelkugelhahn;RKH;Ventil;-10...100°C;;;;;;;;;;;;R7..Rxx-B..;R7..Rxx-B.._datasheet_de-ch.pdf;;PIC_EU_R7-neueCCV_01_SW.jpg;15;6;600 kPa;600 kPa;;100 kPa;4 m³/h;;;;;;;;;;;;;;"Leckrate A, luftblasendicht (EN 12266-1)";3-Weg;Flansch;;Wasser;Regelventil;;;;;291;"EU\Produkte\Wasseranwendungen\Drehsortiment Ventile\Regel-Kugelhahnen\Flansch, 3-Weg\DN 15\"
5171;H711N;Hubventil;H;Ventil;5...120°C;;;;;;;;;;;;H7..N;H7..N_datasheet_de-ch.pdf;;PIC_EU_H7..N-neutral_01_4C.jpg;15;16;1600 kPa;;;;0.63 m³/h;;;;;;;;;;;;;;"max. 0.05% vom kvs-Wert";3-Weg;Flansch;;Wasser;Regelventil;ZH24-1;ZH715;;;267;"EU\Produkte\Wasseranwendungen\Hubsortiment Ventile\PN16, Flansch\3-Weg\N\DN 15\"
4930;LR230A-S;Drehantrieb;;Antrieb;;Auf-Zu|3-Punkt;;;;"90 s";;;"1 x EPU";AC 230 V;5 Nm;IP54;LR230A-S;LR230A-S_datasheet_de-ch.pdf;;PIC_EU_LR230A-S_02_4C.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;S1A|S2A|P140A|P200A|P500A|P1000A|P2800A|P5000A|P10000A;;;;322;"EU\Produkte\Wasseranwendungen\Drehsortiment Antriebe\Standardantriebe\LR..A (5 Nm)\Kugelhahn-Linkage\Auf-Zu, 3-Punkt\AC 230 V\"
4931;LRC24A-SR;Drehantrieb;;Antrieb;;stetig;DC 2...10 V;;;"35 s";;;;AC/DC 24 V;5 Nm;IP54;LRC24A-SR;LRC24A-SR_datasheet_de-ch.pdf;;PIC_EU_LR24A-MF_01_4C.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;S1A|S2A|P140A|P200A|P500A|P1000A|P2800A|P5000A|P10000A;;;;277;"EU\Produkte\Wasseranwendungen\Drehsortiment Antriebe\Schnellläufer-Antriebe\LRC..A (5 Nm)\Kugelhahn-Linkage\stetig\AC/DC 24 V\"
5172;H712N;Hubventil;H;Ventil;5...120°C;;;;;;;;;;;;H7..N;H7..N_datasheet_de-ch.pdf;;PIC_EU_H7..N-neutral_01_4C.jpg;15;16;1600 kPa;;;;1 m³/h;;;;;;;;;;;;;;"max. 0.05% vom kvs-Wert";3-Weg;Flansch;;Wasser;Regelventil;ZH24-1;ZH715;;;267;"EU\Produkte\Wasseranwendungen\Hubsortiment Ventile\PN16, Flansch\3-Weg\N\DN 15\"
61309;ZD6N-S200;Drosselklappe;;Antrieb;;Manuell;;;;;;;;;;;ZD6N-S200;;;"PIC_EU_ZD6N-S_Worm gear_BW.jpg";200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;199;"EU\Produkte\Wasseranwendungen\Drehsortiment Antriebe\Manuelle Antriebe\"
4934;LRF24-S;Federrücklauf-Drehantrieb;;Antrieb;;Auf-Zu;;;NC;"75 s";;;"2 x EPU";AC/DC 24 V;4 Nm;IP54;LRF24-S;LRF24-S_datasheet_de-ch.pdf;;PIC_EU_LRF..-S2_4C.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;330;"EU\Produkte\Wasseranwendungen\Drehsortiment Antriebe\Federrücklaufantriebe\LRF.. (4 Nm)\Kugelhahn-Linkage\Auf-Zu\AC/DC 24 V\"
4932;LRF24;Federrücklauf-Drehantrieb;;Antrieb;;Auf-Zu;;;NC;"75 s";;;;AC/DC 24 V;4 Nm;IP54;LRF24;LRF24_datasheet_de-ch.pdf;;PIC_EU_LRF230_01_4C.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;337;"EU\Produkte\Wasseranwendungen\Drehsortiment Antriebe\Federrücklaufantriebe\LRF.. (4 Nm)\Kugelhahn-Linkage\Auf-Zu\AC/DC 24 V\"
5393;R415D;Auf-Zu-Kugelhahn;KH;Ventil;2...130°C;;;;;;;;;;;;R4..D(K);R4..D(K)_datasheet_de-ch.pdf;;PIC_EU_R415D_01_4C.jpg;15;16;2700 kPa;1400 kPa;;800 kPa;12 m³/h;;;;;;;;;;;;;;"Leckrate A, luftblasendicht (EN 12266-1)";2-Weg;Aussengewinde;;Wasser;Absperrventil;;ZR4515;;;293;"EU\Produkte\Wasseranwendungen\Drehsortiment Ventile\Absperr-Kugelhahnen\Aussengewinde, 2-Weg\DN 15\"
