PdmarticleID;Bezeichnung;"Externer Schlüssel";StateID;"Passende Ventile";"+ /";"Passende Antriebe";"Product family 2 from Actuator";Preisempfehlung;"Regeln für Ventil Dimsionierung";"Export Media manually changed";"Export Media";6986;6987;Typ;Produktfamilie;"Schliessdruck Δps";"Differenzdruck Δpmax Wert";"kv (Werkseinstellung)";Pfad;Versions-Nr
104793;D680N/GR24A-SR-5;D680N/GR24A-SR-5;;D680N;/;GR24A-SR-5;Standardantrieb;0;"Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;D680N/GR24A-SR-5;Drosselklappe;1200 kPa;6 kPa;;"EU\Inbox\Combinations\Folder..6/..7\";45
107462;R420+LRF230;R420+LRF230;;R420;+;LRF230;"Antrieb mit Notstellfunktion";1;"Scenario 1";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R420+LRF230;Auf-Zu-Kugelhahn;1400 kPa;400 kPa;;"EU\Inbox\Kombinationen\Folder..4/..5\";43
107463;R420/LRF230;R420/LRF230;;R420;/;LRF230;"Antrieb mit Notstellfunktion";1;"Scenario 1";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R420/LRF230;Auf-Zu-Kugelhahn;1400 kPa;400 kPa;;"EU\Inbox\Kombinationen\Folder..4/..5\";43
107470;R420+LRF24;R420+LRF24;;R420;+;LRF24;"Antrieb mit Notstellfunktion";1;"Scenario 1";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R420+LRF24;Auf-Zu-Kugelhahn;1400 kPa;400 kPa;;"EU\Inbox\Combinations\Folder..4/..5\";42
107471;R420/LRF24;R420/LRF24;;R420;/;LRF24;"Antrieb mit Notstellfunktion";1;"Scenario 1";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R420/LRF24;Auf-Zu-Kugelhahn;1400 kPa;400 kPa;;"EU\Inbox\Kombinationen\Folder..4/..5\";42
107530;R422+LR230A;R422+LR230A;;R422;+;LR230A;Standardantrieb;1;"Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R422+LR230A;Regelkugelhahn;1400 kPa;200 kPa;;"EU\Inbox\Combinations\Folder..4/..5\";42
107531;R422/LR230A;R422/LR230A;;R422;/;LR230A;Standardantrieb;1;"Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R422/LR230A;Regelkugelhahn;1400 kPa;200 kPa;;"EU\Inbox\Combinations\Folder..4/..5\";42
107532;R422+LR230A-S;R422+LR230A-S;;R422;+;LR230A-S;Standardantrieb;0;"Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R422+LR230A-S;Regelkugelhahn;1400 kPa;200 kPa;;"EU\Inbox\Combinations\Folder..4/..5\";41
107533;R422/LR230A-S;R422/LR230A-S;;R422;/;LR230A-S;Standardantrieb;0;"Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R422/LR230A-S;Regelkugelhahn;1400 kPa;200 kPa;;"EU\Inbox\Combinations\Folder..4/..5\";41
107534;R422+LR24A;R422+LR24A;;R422;+;LR24A;Standardantrieb;1;"Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R422+LR24A;Regelkugelhahn;1400 kPa;200 kPa;;"EU\Inbox\Combinations\Folder..4/..5\";42
107535;R422/LR24A;R422/LR24A;;R422;/;LR24A;Standardantrieb;1;"Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R422/LR24A;Regelkugelhahn;1400 kPa;200 kPa;;"EU\Inbox\Combinations\Folder..4/..5\";42
107538;R422+LR24A-MP;R422+LR24A-MP;;R422;+;LR24A-MP;"Kommunikationsfähiger Antrieb";0;"Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R422+LR24A-MP;Regelkugelhahn;1400 kPa;200 kPa;;"EU\Inbox\Kombinationen\Folder..4/..5\";40
107539;R422/LR24A-MP;R422/LR24A-MP;;R422;/;LR24A-MP;"Kommunikationsfähiger Antrieb";0;"Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R422/LR24A-MP;Regelkugelhahn;1400 kPa;200 kPa;;"EU\Inbox\Combinations\Folder..4/..5\";40
107540;R422+LR24A-S;R422+LR24A-S;;R422;+;LR24A-S;Standardantrieb;0;"Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R422+LR24A-S;Regelkugelhahn;1400 kPa;200 kPa;;"EU\Inbox\Combinations\Folder..4/..5\";42
