PdmarticleID;Bezeichnung;Produktfamilie;"Produktfamilie kurz";Produkttyp;Mediumstemperatur;Ansteuerung;"Arbeitsbereich Y";Kommunikation;"Notstellposition (POP) stromlos";"Laufzeit Motor";"Stellzeit Motor";Stellkraft;Hilfsschalter;Nennspannung;Nenndrehmoment;"Schutzart IEC/EN";Datenblattname;"Datenblatt PDF";3432;"Produktbild 4c/bw";DN;PN;"Zulässiger Druck ps";"Schliessdruck Δps";"Differenzdruck ∆pmin Wert";"Differenzdruck Δpmax Wert";kvs;"kvs (Sequenz I)";"kvs (Sequenz II)";kvmax;"kv variabel";"kvs theor.";"kv (Werkseinstellung)";"Vnom [l/s]";"Vnom [l/min]";"Vnom [l/h]";Vmaxpos1;Vmaxpos2;Vmaxpos3;"Vmax ger.";"Leckrate Regelpfad";"Anzahl Rohranschlüsse";"Rohranschluss Typ";Messstutzen;Medien;"Anwendung Ventil";"Elektrisches Zubehör";"Mechanisches Zubehör";V0;V1;Versions-Nr;Pfad
5135;H614R;Hubventil;H;Ventil;5...120°C;;;;;;;;;;;;H6..R;H6..R_datasheet_de-ch.pdf;;PIC_EU_H625R_4C.jpg;15;6;600 kPa;;;;2.5 m³/h;;;;;;;;;;;;;;"max. 0.05% vom kvs-Wert";2-Weg;Flansch;;Wasser;Regelventil;ZH24-1;;;;308;"EU\Produkte\Wasseranwendungen\Hubsortiment Ventile\PN6, Flansch\2-Weg\"
5132;H611R;Hubventil;H;Ventil;5...120°C;;;;;;;;;;;;H6..R;H6..R_datasheet_de-ch.pdf;;PIC_EU_H625R_4C.jpg;15;6;600 kPa;;;;0.63 m³/h;;;;;;;;;;;;;;"max. 0.05% vom kvs-Wert";2-Weg;Flansch;;Wasser;Regelventil;ZH24-1;;;;327;"EU\Produkte\Wasseranwendungen\Hubsortiment Ventile\PN6, Flansch\2-Weg\"
305189;R3020-1P6-4-B2;Regelkugelhahn;6-Weg-RKH;Ventil;6...80°C;;;;;;;;;;;;R30..-..-..-B2;R30..-..-..-B2_datasheet_de-ch.pdf;;PIC_EU_R3015..-B2_02_4C.jpg;20;16;1600 kPa;;;100 kPa;;1.6 m³/h;4 m³/h;;;;;;;;;;;;"Leckrate A, luftblasendicht (EN 12266-1)";6-Weg;Innengewinde;;Wasser;Regelventil;;ZR-004|ZR2320;;;134;"EU\Produkte\Wasseranwendungen\Drehsortiment Ventile\Regel-Kugelhahnen\Innengewinde, 6-Weg\"
5291;R3015-P63-1-B2;Regelkugelhahn;6-Weg-RKH;Ventil;6...80°C;;;;;;;;;;;;R30..-..-..-B2;R30..-..-..-B2_datasheet_de-ch.pdf;;PIC_EU_R3015..-B2_02_4C.jpg;15;16;1600 kPa;;;100 kPa;;0.63 m³/h;1 m³/h;;;;;;;;;;;;"Leckrate A, luftblasendicht (EN 12266-1)";6-Weg;Innengewinde;;Wasser;Regelventil;;ZR-004|ZR2315;;;407;"EU\Produkte\Wasseranwendungen\Drehsortiment Ventile\Regel-Kugelhahnen\Innengewinde, 6-Weg\"
59907;SRF230A-S2;Federrücklauf-Drehantrieb;;Antrieb;;Auf-Zu;;;NC;"75 s";;;"2 x EPU";AC 230 V;"20 Nm";IP54;SRF230A-S2;SRF230A-S2_datasheet_de-ch.pdf;;PIC_EU_SRF-S2-neutral-2K_01_4C.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;321;"EU\Produkte\Wasseranwendungen\Drehsortiment Antriebe\Federrücklaufantriebe\SRF..A (20 Nm)\"
5136;H615R;Hubventil;H;Ventil;5...120°C;;;;;;;;;;;;H6..R;H6..R_datasheet_de-ch.pdf;;PIC_EU_H625R_4C.jpg;15;6;600 kPa;;;;4 m³/h;;;;;;;;;;;;;;"max. 0.05% vom kvs-Wert";2-Weg;Flansch;;Wasser;Regelventil;ZH24-1;;;;305;"EU\Produkte\Wasseranwendungen\Hubsortiment Ventile\PN6, Flansch\2-Weg\"
305192;R3020-4-P63-B2;Regelkugelhahn;6-Weg-RKH;Ventil;6...80°C;;;;;;;;;;;;R30..-..-..-B2;R30..-..-..-B2_datasheet_de-ch.pdf;;PIC_EU_R3015..-B2_02_4C.jpg;20;16;1600 kPa;;;100 kPa;;4 m³/h;0.63 m³/h;;;;;;;;;;;;"Leckrate A, luftblasendicht (EN 12266-1)";6-Weg;Innengewinde;;Wasser;Regelventil;;ZR-004|ZR2320;;;137;"EU\Produkte\Wasseranwendungen\Drehsortiment Ventile\Regel-Kugelhahnen\Innengewinde, 6-Weg\"
285297;EP040R+KMP;"Kommunikationsfähiger Regelkugelhahn mit sensorgeführter Durchflussregelung";EPIV;VA-Einheit;"-10...120°C ";stetig|kommunikativ;DC 2...10 V;MP-Bus;;"90 s";;;;AC/DC 24 V;"20 Nm";IP54;EP..R+KMP;EP..R+KMP_datasheet_de-ch.pdf;;PIC_EU_EP..R+KMP_4C.jpg;40;16;1600 kPa;1400 kPa;;350 kPa;;;;;;21.3 m³/h;;2.5 l/s;150 l/min;;;;;;"Leckrate A, luftblasendicht (EN 12266-1)";2-Weg;Innengewinde;;Wasser;Druckunabhängig;ZK1-GEN|ZK2-GEN|ZFP2-MP|ZN230-24MP;;;;107;"EU\Produkte\Wasseranwendungen\VA Einheiten\EPIV\SuperCap-EPIV\"
285293;EP015R+KMP;"Kommunikationsfähiger Regelkugelhahn mit sensorgeführter Durchflussregelung";EPIV;VA-Einheit;"-10...120°C ";stetig|kommunikativ;DC 2...10 V;MP-Bus;;"90 s";;;;AC/DC 24 V;"20 Nm";IP54;EP..R+KMP;EP..R+KMP_datasheet_de-ch.pdf;;PIC_EU_EP..R+KMP_4C.jpg;15;16;1600 kPa;1400 kPa;;350 kPa;;;;;;2.9 m³/h;;0.35 l/s;21 l/min;;;;;;"Leckrate A, luftblasendicht (EN 12266-1)";2-Weg;Innengewinde;;Wasser;Druckunabhängig;ZK1-GEN|ZK2-GEN|ZFP2-MP|ZN230-24MP;;;;110;"EU\Produkte\Wasseranwendungen\VA Einheiten\EPIV\SuperCap-EPIV\"
285296;EP032R+KMP;"Kommunikationsfähiger Regelkugelhahn mit sensorgeführter Durchflussregelung";EPIV;VA-Einheit;"-10...120°C ";stetig|kommunikativ;DC 2...10 V;MP-Bus;;"90 s";;;;AC/DC 24 V;"20 Nm";IP54;EP..R+KMP;EP..R+KMP_datasheet_de-ch.pdf;;PIC_EU_EP..R+KMP_4C.jpg;32;16;1600 kPa;1400 kPa;;350 kPa;;;;;;14.2 m³/h;;1.8 l/s;108 l/min;;;;;;"Leckrate A, luftblasendicht (EN 12266-1)";2-Weg;Innengewinde;;Wasser;Druckunabhängig;ZK1-GEN|ZK2-GEN|ZFP2-MP|ZN230-24MP;;;;106;"EU\Produkte\Wasseranwendungen\VA Einheiten\EPIV\SuperCap-EPIV\"
