PdmarticleID;Label;"Product family";"Product family short";"Product type";"Medium temperature";Control;"Operating range Y";Communication;"Emergency setting position (POP) deenergised";"Running time motor";"Actuating time motor";"Actuating force";"Auxiliary switch";"Nominal voltage";"Nominal torque";"Degree of protection IEC/EN";"Data sheet name";"Data sheet PDF";3432;"Product picture 4c/bw";DN;PN;"Permissible pressure ps";"Closing pressure Δps";"Differential pressure ∆pmin value";"Differential pressure Δpmax value";kvs;"kvs (Sequence I)";"kvs (Sequence II)";kvmax;"kv variable";"﻿kvs theor.";"kv (factory setting)";"Vnom [l/s]";"Vnom [l/min]";"Vnom [l/h]";Vmaxpos1;Vmaxpos2;Vmaxpos3;"Vmax low-n";"Control path leakage rate";"Number of pipe connections";"Pipe connection type";"Measurement ports";Media;"Valve application";"Electrical accessories";"Mechanical accessories";V0;V1;"Version Number";Path
61823;R3050-BL4;"Change-over ball valve";CV;Valve;-10...100°C;;;;;;;;;;;;R3..-BL..;R3..-BL.._datasheet_en-gb.pdf;;PIC_EU_R3-neueCCV_01_SW.jpg;50;16;1600 kPa;500 kPa;;350 kPa;75 m³/h;;;;;;;;;;;;;;"Leakage rate A, air-bubble-tight (EN 12266-1)";3-way;"Internal thread";;Water;"Change-over valve";;ZR2350;;;293;"EU\Products\Water solutions\Rotary product range valves\Change-over ball valve\Internal thread, 3-way, L-bore\DN 50\"
5466;H7250W1000-S7;"Globe valve";H;Valve;5...120°C;;;;;;;;;;;;H7..W..S7;H7..W..S7_datasheet_en-gb.pdf;;PIC_EU_H7..W..S7_01_SW.jpg;250;16;1600 kPa;;;;1000 m³/h;;;;;;;;;;;;;;"max. 0.05% of the kvs value";3-way;Flange;;Water;"Control valve";ZH24-1-D;;;;269;"EU\Products\Water solutions\Globe valve range valves\PN16, flange\3-way\W\DN 250\"
61822;R3040-BL4;"Change-over ball valve";CV;Valve;-10...100°C;;;;;;;;;;;;R3..-BL..;R3..-BL.._datasheet_en-gb.pdf;;PIC_EU_R3-neueCCV_01_SW.jpg;40;16;1600 kPa;500 kPa;;350 kPa;47 m³/h;;;;;;;;;;;;;;"Leakage rate A, air-bubble-tight (EN 12266-1)";3-way;"Internal thread";;Water;"Change-over valve";;ZR2340;;;296;"EU\Products\Water solutions\Rotary product range valves\Change-over ball valve\Internal thread, 3-way, L-bore\DN 40\"
61357;NRF230A-3-S2-O;"Spring-return rotary actuator";;Actuator;;3-point;;;NO;"90 s";;;"2 x SPDT";AC 230 V;10 Nm;IP54;NRF230A-3-S2-O;NRF230A-3-S2-O_datasheet_en-gb.pdf;;PIC_EU_NRF-S2-neutral-2K_01_4C.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;307;"EU\Products\Water solutions\Rotary product range actuators\Spring return actuators\NRF..A (10Nm/5Nm)\Ball valve linkage\3-point\AC 230 V\"
4940;LRF230-S-O;"Spring-return rotary actuator";;Actuator;;Open-close;;;NO;"75 s";;;"2 x SPDT";AC 230 V;4 Nm;IP54;LRF230-S-O;LRF230-S-O_datasheet_en-gb.pdf;;PIC_EU_LRF..-S2_4C.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;341;"EU\Products\Water solutions\Rotary product range actuators\Spring return actuators\LRF.. (4 Nm)\Ball valve linkage\Open-Close\AC 230 V\"
5467;H7015Y4-S2;"Globe valve";H;Valve;5...200°C;;;;;;;;;;;;H7..Y..S..;H7..Y..S.._datasheet_en-gb.pdf;;PIC_EU_H7..X-S2-neutral_01_4C.jpg;15;40;4000 kPa;;;;4 m³/h;;;;;;;;;;;;;;"max. 0.05% of the kvs value";3-way;Flange;;Water;"Control valve";;;;;269;"EU\Products\Water solutions\Globe valve range valves\PN40, flange\3-way\Y\DN 15\"
4941;LRQ24A-SR;"Very fast running rotary actuator";;Actuator;;modulating;DC 2...10 V;;;"9 s";;;;AC/DC 24 V;4 Nm;IP54;LRQ24A-SR;LRQ24A-SR_datasheet_en-gb.pdf;;PIC_EU_LRQ24A-neutral_02_4C.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;S1A|S2A|P140A|P200A|P500A|P1000A|P2800A|P5000A|P10000A;;;;328;"EU\Products\Water solutions\Rotary product range actuators\Very fast runner actuator\LRQ..A (4 Nm)\Ball valve linkage\modulating\AC/DC 24 V\"
253470;CQ24A-SZ-T;"Rotary actuator (ZoneTight)";QCV;Actuator;;modulating;DC 0.5...10 V;;;"75 s";;;;AC/DC 24 V;"1 Nm";IP40;CQ24A-SZ-T;CQ24A-SZ-T_datasheet_en-gb.pdf;;PIC_EU_CQ24A-SZ-T_4C.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;CR24-A3|CR24-B3;ZCQ-E|ZCQ-W;;;252;"EU\Products\Water solutions\Rotary product range actuators\CQ actuator\"
61832;SRFA-S2;"Spring-return rotary actuator";;Actuator;;Open-close;;;NC;"75 s";;;"2 x SPDT";AC 24...240 V / DC 24...125 V;20 Nm;IP54;SRFA-S2;SRFA-S2_datasheet_en-gb.pdf;;PIC_EU_SRF-S2-neutral-2K_01_4C.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;291;"EU\Products\Water solutions\Rotary product range actuators\Spring return actuators\SRF..A (20 Nm)\Ball valve linkage\Open-Close\AC 24...240V / DC 24...125V\"
4945;NRF24A-SZ-S2;"Spring-return rotary actuator";;Actuator;;modulating;DC 0.5...10 V;;NC;"90 s";;;"2 x SPDT";AC/DC 24 V;10 Nm;IP54;NRF24A-SZ-S2;NRF24A-SZ-S2_datasheet_en-gb.pdf;;PIC_EU_NRF-S2-neutral-2K_01_4C.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;324;"EU\Products\Water solutions\Rotary product range actuators\Spring return actuators\NRF..A (10Nm/5Nm)\Ball valve linkage\modulating\AC/DC 24 V\"
