PdmarticleID;Label;"Product family";"Product family short";"Product type";"Medium temperature";Control;"Operating range Y";Communication;"Emergency setting position (POP) deenergised";"Running time motor";"Actuating time motor";"Actuating force";"Auxiliary switch";"Nominal voltage";"Nominal torque";"Degree of protection IEC/EN";"Data sheet name";"Data sheet PDF";3432;"Product picture 4c/bw";DN;PN;"Permissible pressure ps";"Closing pressure Δps";"Differential pressure ∆pmin value";"Differential pressure Δpmax value";kvs;"kvs (Sequence I)";"kvs (Sequence II)";kvmax;"kv variable";"﻿kvs theor.";"kv (factory setting)";"Vnom [l/s]";"Vnom [l/min]";"Vnom [l/h]";Vmaxpos1;Vmaxpos2;Vmaxpos3;"Vmax low-n";"Control path leakage rate";"Number of pipe connections";"Pipe connection type";"Measurement ports";Media;"Valve application";"Electrical accessories";"Mechanical accessories";V0;V1;"Version Number";Path
5198;H764R;"Globe valve";H;Valve;5...120°C;;;;;;;;;;;;H7..R;H7..R_datasheet_en-gb.pdf;;PIC_EU_H7..N-neutral_01_4C.jpg;65;6;600 kPa;;;;58 m³/h;;;;;;;;;;;;;;"max. 0.05% of the kvs value";3-way;Flange;;Water;"Control valve";ZH24-1-C;;;;288;"EU\Products\Water solutions\Globe valve range valves\PN6, flange\3-way\"
5478;H7025X10-S2;"Globe valve";H;Valve;5...200°C;;;;;;;;;;;;H7..X..S..;H7..X..S.._datasheet_en-gb.pdf;;PIC_EU_H7..X-S2-neutral_01_4C.jpg;25;25;2500 kPa;;;;10 m³/h;;;;;;;;;;;;;;"max. 0.05% of the kvs value";3-way;Flange;;Water;"Control valve";;;;;279;"EU\Products\Water solutions\Globe valve range valves\PN25, flange\3-way\"
5479;H7032X16-S2;"Globe valve";H;Valve;5...200°C;;;;;;;;;;;;H7..X..S..;H7..X..S.._datasheet_en-gb.pdf;;PIC_EU_H7..X-S2-neutral_01_4C.jpg;32;25;2500 kPa;;;;16 m³/h;;;;;;;;;;;;;;"max. 0.05% of the kvs value";3-way;Flange;;Water;"Control valve";;;;;278;"EU\Products\Water solutions\Globe valve range valves\PN25, flange\3-way\"
272612;EP050R+MP;"Communicative characterised control valve with sensor-operated flow control";EPIV;VA-Unit;"-10...120°C ";modulating|communicative;DC 2...10 V;MP-Bus;;"90 s";;;;AC/DC 24 V;"20 Nm";IP54;EP..R+MP;EP..R+MP_datasheet_en-gb.pdf;;PIC_EU_EP040R-MP_4C.jpg;50;16;1600 kPa;1400 kPa;;350 kPa;;;;;;32.0 m³/h;;4.8 l/s;288 l/min;;;;;;"Leakage rate A, air-bubble-tight (EN 12266-1)";2-way;"Internal thread";;Water;"Pressure independent";ZK1-GEN|ZK2-GEN|ZFP2-MP|ZN230-24MP;;;;300;"EU\Products\Water solutions\VA Units\EPIV\modulating, MP\"
272610;EP032R+MP;"Communicative characterised control valve with sensor-operated flow control";EPIV;VA-Unit;"-10...120°C ";modulating|communicative;DC 2...10 V;MP-Bus;;"90 s";;;;AC/DC 24 V;"10 Nm";IP54;EP..R+MP;EP..R+MP_datasheet_en-gb.pdf;;PIC_EU_EP040R-MP_4C.jpg;32;16;1600 kPa;1400 kPa;;350 kPa;;;;;;14.2 m³/h;;1.8 l/s;108 l/min;;;;;;"Leakage rate A, air-bubble-tight (EN 12266-1)";2-way;"Internal thread";;Water;"Pressure independent";ZK1-GEN|ZK2-GEN|ZFP2-MP|ZN230-24MP;;;;311;"EU\Products\Water solutions\VA Units\EPIV\modulating, MP\"
69685;R2050-40-S4;"Characterised control valve";CCV;Valve;-10...120°C;;;;;;;;;;;;R2..xx-S..;R2..xx-S.._datasheet_en-gb.pdf;;PIC_EU_R2-neueCCV_01_SW.jpg;50;16;1600 kPa;1400 kPa;;350 kPa;40 m³/h;;;;;;;;;;;;;;"Leakage rate A, air-bubble-tight (EN 12266-1)";2-way;"Internal thread";;Water;"Control valve";;ZR2350;;;319;"EU\Products\Water solutions\Rotary product range valves\Characterised control valves\Internal thread, 2-way\"
69705;R3032-BL2;"Change-over ball valve";CV;Valve;-10...100°C;;;;;;;;;;;;R3..-BL..;R3..-BL.._datasheet_en-gb.pdf;;PIC_EU_R3-neueCCV_01_SW.jpg;32;16;1600 kPa;500 kPa;;350 kPa;9 m³/h;;;;;;;;;;;;;;"Leakage rate A, air-bubble-tight (EN 12266-1)";3-way;"Internal thread";;Water;"Change-over valve";;ZR2332;;;310;"EU\Products\Water solutions\Rotary product range valves\Change-over ball valve\Internal thread, 3-way, L-bore\"
63756;RV24A-MF;"Globe valve actuator";;Actuator;;modulating;DC 2...10 V;;;;"120 s / 40 mm";"4500 N";;AC/DC 24 V;;IP54;RV24A-MF;RV24A-MF_datasheet_en-gb.pdf;;PIC_EU_RV24A-MF_01_4C.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;S2A-H|ZK1-GEN|ZK2-GEN;;;;442;"EU\Products\Water solutions\Globe valve range actuators\Standard actuators\RV..A (4500N)\"
5197;H750R;"Globe valve";H;Valve;5...120°C;;;;;;;;;;;;H7..R;H7..R_datasheet_en-gb.pdf;;PIC_EU_H7..N-neutral_01_4C.jpg;50;6;600 kPa;;;;40 m³/h;;;;;;;;;;;;;;"max. 0.05% of the kvs value";3-way;Flange;;Water;"Control valve";ZH24-1;;;;287;"EU\Products\Water solutions\Globe valve range valves\PN6, flange\3-way\"
5200;H7100R;"Globe valve";H;Valve;5...120°C;;;;;;;;;;;;H7..R;H7..R_datasheet_en-gb.pdf;;PIC_EU_H7..N-neutral_01_4C.jpg;100;6;600 kPa;;;;145 m³/h;;;;;;;;;;;;;;"max. 0.05% of the kvs value";3-way;Flange;;Water;"Control valve";ZH24-1-C;;;;288;"EU\Products\Water solutions\Globe valve range valves\PN6, flange\3-way\"
