PdmarticleID;Label;"External Key";StateID;"Suitable valves";"Installation options symbol";"Suitable actuators";"Product family 2 from Actuator";"Recommended price";"Rules for valve sizing";"Export Media manually changed";"Export Media";6986;6987;Type;"Product family";"Closing pressure Δps";"Differential pressure Δpmax value";"kv (factory setting)";Path;"Version Number"
107470;R420+LRF24;R420+LRF24;;R420;+;LRF24;"Actuator with emergency control function";1;"Scenario 1";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R420+LRF24;"Open-close ball valve";1400 kPa;400 kPa;;"EU\Inbox\Combinations\Folder..4/..5\";41
107471;R420/LRF24;R420/LRF24;;R420;/;LRF24;"Actuator with emergency control function";1;"Scenario 1";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R420/LRF24;"Open-close ball valve";1400 kPa;400 kPa;;"EU\Inbox\Combinations\Folder..4/..5\";41
107530;R422+LR230A;R422+LR230A;;R422;+;LR230A;"Standard actuator";1;"Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R422+LR230A;"Characterised control valve";1400 kPa;200 kPa;;"EU\Inbox\Combinations\Folder..4/..5\";41
107531;R422/LR230A;R422/LR230A;;R422;/;LR230A;"Standard actuator";1;"Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R422/LR230A;"Characterised control valve";1400 kPa;200 kPa;;"EU\Inbox\Combinations\Folder..4/..5\";41
107532;R422+LR230A-S;R422+LR230A-S;;R422;+;LR230A-S;"Standard actuator";0;"Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R422+LR230A-S;"Characterised control valve";1400 kPa;200 kPa;;"EU\Inbox\Combinations\Folder..4/..5\";40
107533;R422/LR230A-S;R422/LR230A-S;;R422;/;LR230A-S;"Standard actuator";0;"Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R422/LR230A-S;"Characterised control valve";1400 kPa;200 kPa;;"EU\Inbox\Combinations\Folder..4/..5\";40
107534;R422+LR24A;R422+LR24A;;R422;+;LR24A;"Standard actuator";1;"Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R422+LR24A;"Characterised control valve";1400 kPa;200 kPa;;"EU\Inbox\Combinations\Folder..4/..5\";41
107535;R422/LR24A;R422/LR24A;;R422;/;LR24A;"Standard actuator";1;"Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R422/LR24A;"Characterised control valve";1400 kPa;200 kPa;;"EU\Inbox\Combinations\Folder..4/..5\";41
107538;R422+LR24A-MP;R422+LR24A-MP;;R422;+;LR24A-MP;"Communicative actuator";0;"Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R422+LR24A-MP;"Characterised control valve";1400 kPa;200 kPa;;"EU\Inbox\Combinations\Folder..4/..5\";39
107539;R422/LR24A-MP;R422/LR24A-MP;;R422;/;LR24A-MP;"Communicative actuator";0;"Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R422/LR24A-MP;"Characterised control valve";1400 kPa;200 kPa;;"EU\Inbox\Combinations\Folder..4/..5\";39
107540;R422+LR24A-S;R422+LR24A-S;;R422;+;LR24A-S;"Standard actuator";0;"Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R422+LR24A-S;"Characterised control valve";1400 kPa;200 kPa;;"EU\Inbox\Combinations\Folder..4/..5\";41
107541;R422/LR24A-S;R422/LR24A-S;;R422;/;LR24A-S;"Standard actuator";0;"Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R422/LR24A-S;"Characterised control valve";1400 kPa;200 kPa;;"EU\Inbox\Combinations\Folder..4/..5\";41
107542;R422+LR24A-SR;R422+LR24A-SR;;R422;+;LR24A-SR;"Standard actuator";1;"Scenario 2";;PPK|SelectPro_EU|VDI3805|Internet_EU;;;R422+LR24A-SR;"Characterised control valve";1400 kPa;200 kPa;;"EU\Inbox\Combinations\Folder..4/..5\";41
